CVE_MUN,Municipio,Suma de Total
001,Acajete,9
002,Acateno,0
003,Acatlán,4
004,Acatzingo,4
005,Acteopan,0
006,Ahuacatlán,0
007,Ahuatlán,0
008,Ahuazotepec,2
009,Ahuehuetitla,0
010,Ajalpan,9
011,Albino Zertuche,1
012,Aljojuca,0
013,Altepexi,2
014,Amixtlán,0
015,Amozoc,25
016,Aquixtla,2
017,Atempan,4
018,Atexcal,0
019,Atlixco,26
020,Atoyatempan,0
021,Atzala,1
022,Atzitzihuacán,1
023,Atzitzintla,1
024,Axutla,0
025,Ayotoxco de Guerrero,1
026,Calpan,0
027,Caltepec,0
028,Camocuautla,2
029,Caxhuacan,0
030,Coatepec,1
031,Coatzingo,0
032,Cohetzala,0
033,Cohuecan,0
034,Coronango,15
035,Coxcatlán,0
036,Coyomeapan,1
037,Coyotepec,0
038,Cuapiaxtla de Madero,0
039,Cuautempan,0
040,Cuautinchán,1
041,Cuautlancingo,29
042,Cuayuca de Andrade,0
043,Cuetzalan del Progreso,8
044,Cuyoaco,1
045,Chalchicomula de Sesma,7
046,Chapulco,2
047,Chiautla,1
048,Chiautzingo,2
049,Chiconcuautla,4
050,Chichiquila,1
051,Chietla,7
052,Chigmecatitlán,0
053,Chignahuapan,13
054,Chignautla,0
055,Chila,1
056,Chila de la Sal,0
057,Honey,0
058,Chilchotla,2
059,Chinantla,0
060,Domingo Arenas,0
061,Eloxochitlán,1
062,Epatlán,0
063,Esperanza,0
064,Francisco Z. Mena,1
065,General Felipe Ángeles,2
066,Guadalupe,0
067,Guadalupe Victoria,0
068,Hermenegildo Galeana,0
069,Huaquechula,1
070,Huatlatlauca,1
071,Huauchinango,19
072,Huehuetla,0
073,Huehuetlán el Chico,3
074,Huejotzingo,15
075,Hueyapan,2
076,Hueytamalco,4
077,Hueytlalpan,2
078,Huitzilán de Serdán,1
079,Huitziltepec,1
080,Atlequizayan,0
081,Ixcamilpa de Guerrero,0
082,Ixcaquixtla,4
083,Ixtacamaxtitlán,0
084,Ixtepec,0
085,Izúcar de Matamoros,8
086,Jalpan,2
087,Jolalpan,0
088,Jonotla,0
089,Jopala,2
090,Juan C. Bonilla,6
091,Juan Galindo,1
092,Juan N. Méndez,1
093,Lafragua,0
094,Libres,5
095,La Magdalena Tlatlauquitepec,0
096,Mazapiltepec de Juárez,0
097,Mixtla,0
098,Molcaxac,0
099,Cañada Morelos,0
100,Naupan,1
101,Nauzontla,0
102,Nealtican,2
103,Nicolás Bravo,0
104,Nopalucan,1
105,Ocotepec,0
106,Ocoyucan,7
107,Olintla,1
108,Oriental,5
109,Pahuatlán,1
110,Palmar de Bravo,8
111,Pantepec,1
112,Petlalcingo,0
113,Piaxtla,1
114,Puebla,533
115,Quecholac,4
116,Quimixtlán,0
117,Rafael Lara Grajales,0
118,Los Reyes de Juárez,1
119,San Andrés Cholula,36
120,San Antonio Cañada,0
121,San Diego la Mesa Tochimiltzingo,0
122,San Felipe Teotlalcingo,1
123,San Felipe Tepatlán,0
124,San Gabriel Chilac,1
125,San Gregorio Atzompa,2
126,San Jerónimo Tecuanipan,0
127,San Jerónimo Xayacatlán,1
128,San José Chiapa,1
129,San José Miahuatlán,1
130,San Juan Atenco,0
131,San Juan Atzompa,0
132,San Martín Texmelucan,24
133,San Martín Totoltepec,1
134,San Matías Tlalancaleca,1
135,San Miguel Ixitlán,0
136,San Miguel Xoxtla,2
137,San Nicolás Buenos Aires,0
138,San Nicolás de los Ranchos,1
139,San Pablo Anicano,0
140,San Pedro Cholula,36
141,San Pedro Yeloixtlahuaca,1
142,San Salvador el Seco,4
143,San Salvador el Verde,2
144,San Salvador Huixcolotla,1
145,San Sebastián Tlacotepec,0
146,Santa Catarina Tlaltempan,0
147,Santa Inés Ahuatempan,0
148,Santa Isabel Cholula,2
149,Santiago Miahuatlán,8
150,Huehuetlán el Grande,0
151,Santo Tomás Hueyotlipan,1
152,Soltepec,1
153,Tecali de Herrera,5
154,Tecamachalco,6
155,Tecomatlán,2
156,Tehuacán,56
157,Tehuitzingo,0
158,Tenampulco,0
159,Teopantlán,0
160,Teotlalco,0
161,Tepanco de López,2
162,Tepango de Rodríguez,1
163,Tepatlaxco de Hidalgo,1
164,Tepeaca,9
165,Tepemaxalco,0
166,Tepeojuma,3
167,Tepetzintla,0
168,Tepexco,0
169,Tepexi de Rodríguez,2
170,Tepeyahualco,0
171,Tepeyahualco de Cuauhtémoc,1
172,Tetela de Ocampo,6
173,Teteles de Ávila Castillo,1
174,Teziutlán,20
175,Tianguismanalco,1
176,Tilapa,1
177,Tlacotepec de Benito Juárez,4
178,Tlacuilotepec,1
179,Tlachichuca,2
180,Tlahuapan,1
181,Tlaltenango,0
182,Tlanepantla,0
183,Tlaola,0
184,Tlapacoya,0
185,Tlapanalá,0
186,Tlatlauquitepec,15
187,Tlaxco,0
188,Tochimilco,2
189,Tochtepec,1
190,Totoltepec de Guerrero,0
191,Tulcingo,0
192,Tuzamapan de Galeana,0
193,Tzicatlacoyan,0
194,Venustiano Carranza,2
195,Vicente Guerrero,3
196,Xayacatlán de Bravo,0
197,Xicotepec,10
198,Xicotlán,0
199,Xiutetelco,2
200,Xochiapulco,1
201,Xochiltepec,0
202,Xochitlán de Vicente Suárez,0
203,Xochitlán Todos Santos,0
204,Yaonáhuac,1
205,Yehualtepec,3
206,Zacapala,0
207,Zacapoaxtla,3
208,Zacatlán,20
209,Zapotitlán,1
210,Zapotitlán de Méndez,0
211,Zaragoza,1
212,Zautla,0
213,Zihuateutla,0
214,Zinacatepec,1
215,Zongozotla,0
216,Zoquiapan,1
217,Zoquitlán,2
