NOM_MUN,CVE_MUN,IncidenciaMayo
Acajete,001,9
Acateno,002,1
Acatlán,003,13
Acatzingo,004,7
Acteopan,005,0
Ahuacatlán,006,2
Ahuatlán,007,0
Ahuazotepec,008,2
Ahuehuetitla,009,0
Ajalpan,010,6
Albino Zertuche,011,0
Aljojuca,012,1
Altepexi,013,1
Amixtlán,014,0
Amozoc,015,38
Aquixtla,016,0
Atempan,017,3
Atexcal,018,0
Atlixco,019,27
Atoyatempan,020,1
Atzala,021,1
Atzitzihuacán,022,2
Atzitzintla,023,0
Axutla,024,1
Ayotoxco de Guerrero,025,1
Calpan,026,3
Caltepec,027,0
Camocuautla,028,0
Caxhuacan,029,0
Coatepec,030,0
Coatzingo,031,0
Cohetzala,032,0
Cohuecan,033,0
Coronango,034,14
Coxcatlán,035,4
Coyomeapan,036,0
Coyotepec,037,0
Cuapiaxtla de Madero,038,3
Cuautempan,039,1
Cuautinchán,040,3
Cuautlancingo,041,31
Cuayuca de Andrade,042,0
Cuetzalan del Progreso,043,6
Cuyoaco,044,2
Chalchicomula de Sesma,045,6
Chapulco,046,0
Chiautla,047,1
Chiautzingo,048,4
Chiconcuautla,049,2
Chichiquila,050,0
Chietla,051,7
Chigmecatitlán,052,0
Chignahuapan,053,15
Chignautla,054,7
Chila,055,0
Chila de la Sal,056,0
Honey,057,0
Chilchotla,058,0
Chinantla,059,0
Domingo Arenas,060,0
Eloxochitlán,061,0
Epatlán,062,0
Esperanza,063,1
Francisco Z. Mena,064,0
General Felipe Ángeles,065,0
Guadalupe,066,2
Guadalupe Victoria,067,7
Hermenegildo Galeana,068,1
Huaquechula,069,0
Huatlatlauca,070,0
Huauchinango,071,31
Huehuetla,072,2
Huehuetlán el Chico,073,2
Huejotzingo,074,14
Hueyapan,075,1
Hueytamalco,076,5
Hueytlalpan,077,0
Huitzilán de Serdán,078,0
Huitziltepec,079,0
Atlequizayan,080,0
Ixcamilpa de Guerrero,081,0
Ixcaquixtla,082,4
Ixtacamaxtitlán,083,2
Ixtepec,084,1
Izúcar de Matamoros,085,9
Jalpan,086,0
Jolalpan,087,1
Jonotla,088,0
Jopala,089,1
Juan C. Bonilla,090,15
Juan Galindo,091,3
Juan N. Méndez,092,1
Lafragua,093,1
Libres,094,3
La Magdalena Tlatlauquitepec,095,0
Mazapiltepec de Juárez,096,0
Mixtla,097,0
Molcaxac,098,0
Cañada Morelos,099,2
Naupan,100,0
Nauzontla,101,0
Nealtican,102,2
Nicolás Bravo,103,0
Nopalucan,104,3
Ocotepec,105,0
Ocoyucan,106,12
Olintla,107,0
Oriental,108,2
Pahuatlán,109,6
Palmar de Bravo,110,8
Pantepec,111,1
Petlalcingo,112,2
Piaxtla,113,1
Puebla,114,425
Quecholac,115,3
Quimixtlán,116,1
Rafael Lara Grajales,117,0
Los Reyes de Juárez,118,5
San Andrés Cholula,119,50
San Antonio Cañada,120,2
San Diego la Mesa Tochimiltzingo,121,0
San Felipe Teotlalcingo,122,1
San Felipe Tepatlán,123,0
San Gabriel Chilac,124,1
San Gregorio Atzompa,125,1
San Jerónimo Tecuanipan,126,0
San Jerónimo Xayacatlán,127,1
San José Chiapa,128,1
San José Miahuatlán,129,0
San Juan Atenco,130,0
San Juan Atzompa,131,0
San Martín Texmelucan,132,42
San Martín Totoltepec,133,0
San Matías Tlalancaleca,134,1
San Miguel Ixitlán,135,0
San Miguel Xoxtla,136,5
San Nicolás Buenos Aires,137,0
San Nicolás de los Ranchos,138,2
San Pablo Anicano,139,1
San Pedro Cholula,140,31
San Pedro Yeloixtlahuaca,141,1
San Salvador el Seco,142,8
San Salvador el Verde,143,4
San Salvador Huixcolotla,144,0
San Sebastián Tlacotepec,145,0
Santa Catarina Tlaltempan,146,0
