CVE_MUN,NOM_MUN,Homicidios_911,Secuestro_911,Violacion_911,Totales_911
"001",Acajete,"3","1","1","5"
"002",Acateno,"1","0","0","1"
"003",Acatlán,"1","0","0","1"
"004",Acatzingo,"3","5","3","11"
"005",Acteopan,"0","0","0","0"
"006",Ahuacatlán,"0","0","0","0"
"007",Ahuatlán,"0","0","0","0"
"008",Ahuazotepec,"0","1","0","1"
"009",Ahuehuetitla,"0","0","0","0"
"010",Ajalpan,"0","1","0","1"
"011",Albino Zertuche,"0","0","0","0"
"012",Aljojuca,"0","1","0","1"
"013",Altepexi,"0","0","0","0"
"014",Amixtlán,"0","0","0","0"
"015",Amozoc,"4","4","7","15"
"016",Aquixtla,"0","0","0","0"
"017",Atempan,"1","0","0","1"
"018",Atexcal,"0","0","0","0"
"019",Atlixco,"13","3","5","21"
"020",Atoyatempan,"0","0","0","0"
"021",Atzala,"0","0","0","0"
"022",Atzitzihuacán,"0","1","0","1"
"023",Atzitzintla,"0","1","0","1"
"024",Axutla,"0","0","0","0"
"025",Ayotoxco de Guerrero,"0","0","0","0"
"026",Calpan,"1","0","0","1"
"027",Caltepec,"0","0","0","0"
"028",Camocuautla,"0","0","0","0"
"029",Caxhuacan,"1","0","0","1"
"030",Coatepec,"0","0","0","0"
"031",Coatzingo,"0","0","0","0"
"032",Cohetzala,"0","0","0","0"
"033",Cohuecan,"0","0","0","0"
"034",Coronango,"2","1","1","4"
"035",Coxcatlán,"1","0","0","1"
"036",Coyomeapan,"0","0","0","0"
"037",Coyotepec,"0","0","0","0"
"038",Cuapiaxtla de Madero,"1","0","0","1"
"039",Cuautempan,"2","0","2","4"
"040",Cuautinchán,"1","0","0","1"
"041",Cuautlancingo,"3","2","2","7"
"042",Cuayuca de Andrade,"0","0","0","0"
"043",Cuetzalan del Progreso,"1","0","0","1"
"044",Cuyoaco,"0","0","0","0"
"045",Chalchicomula de Sesma,"0","1","0","1"
"046",Chapulco,"0","0","0","0"
"047",Chiautla,"2","0","0","2"
"048",Chiautzingo,"1","0","0","1"
"049",Chiconcuautla,"2","0","0","2"
"050",Chichiquila,"1","1","1","3"
"051",Chietla,"6","1","0","7"
"052",Chigmecatitlán,"0","0","0","0"
"053",Chignahuapan,"3","0","0","3"
"054",Chignautla,"0","1","1","2"
"055",Chila,"0","0","0","0"
"056",Chila de la Sal,"0","0","0","0"
"057",Honey,"0","0","0","0"
"058",Chilchotla,"0","0","0","0"
"059",Chinantla,"0","0","0","0"
"060",Domingo Arenas,"0","0","0","0"
"061",Eloxochitlán,"0","0","0","0"
"062",Epatlán,"0","0","0","0"
"063",Esperanza,"3","1","0","4"
"064",Francisco Z. Mena,"0","0","0","0"
"065",General Felipe Ángeles,"0","1","0","1"
"066",Guadalupe,"0","0","0","0"
"067",Guadalupe Victoria,"0","0","0","0"
"068",Hermenegildo Galeana,"0","0","0","0"
"069",Huaquechula,"1","0","0","1"
"070",Huatlatlauca,"0","0","0","0"
"071",Huauchinango,"4","0","0","4"
"072",Huehuetla,"1","0","0","1"
"073",Huehuetlán el Chico,"1","0","0","1"
"074",Huejotzingo,"0","0","4","4"
"075",Hueyapan,"2","0","0","2"
"076",Hueytamalco,"4","0","1","5"
"077",Hueytlalpan,"0","0","0","0"
"078",Huitzilan de Serdán,"0","0","0","0"
"079",Huitziltepec,"0","0","0","0"
"080",Atlequizayan,"0","0","0","0"
"081",Ixcamilpa de Guerrero,"0","0","0","0"
"082",Ixcaquixtla,"0","0","0","0"
"083",Ixtacamaxtitlán,"0","0","1","1"
"084",Ixtepec,"0","0","0","0"
"085",Izúcar de Matamoros,"6","1","1","8"
"086",Jalpan,"1","0","0","1"
"087",Jolalpan,"1","1","0","2"
"088",Jonotla,"0","0","0","0"
"089",Jopala,"0","0","0","0"
"090",Juan C. Bonilla,"0","0","4","4"
"091",Juan Galindo,"0","0","0","0"
"092",Juan N. Méndez,"0","0","0","0"
"093",Lafragua,"0","0","0","0"
