MAPA,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_CAB,NOM_CAB,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
21,21,Puebla,Pue.,001,Acajete,0001,Acajete,72894,35139,37755,15230
21,21,Puebla,Pue.,002,Acateno,0001,San José Acateno,9170,4586,4584,2611
21,21,Puebla,Pue.,003,Acatlán,0001,Acatlán de Osorio,37955,17836,20119,10163
21,21,Puebla,Pue.,004,Acatzingo,0001,Acatzingo de Hidalgo,63743,30923,32820,13491
21,21,Puebla,Pue.,005,Acteopan,0001,Acteopan,3070,1446,1624,850
21,21,Puebla,Pue.,006,Ahuacatlán,0001,Ahuacatlán,14542,6852,7690,3643
21,21,Puebla,Pue.,007,Ahuatlán,0001,Ahuatlán,3162,1557,1605,789
21,21,Puebla,Pue.,008,Ahuazotepec,0001,Ahuazotepec,11439,5549,5890,2928
21,21,Puebla,Pue.,009,Ahuehuetitla,0001,Ahuehuetitla,2207,1053,1154,617
21,21,Puebla,Pue.,010,Ajalpan,0001,Ciudad de Ajalpan,74768,36191,38577,15581
21,21,Puebla,Pue.,011,Albino Zertuche,0001,Acaxtlahuacán de Albino Zertuche,1885,886,999,511
21,21,Puebla,Pue.,012,Aljojuca,0001,Aljojuca,6591,3100,3491,1706
21,21,Puebla,Pue.,013,Altepexi,0001,Altepexi,22629,10889,11740,4713
21,21,Puebla,Pue.,014,Amixtlán,0001,Amixtlán,4812,2270,2542,1352
21,21,Puebla,Pue.,015,Amozoc,0001,Amozoc de Mota,125876,61479,64397,31598
21,21,Puebla,Pue.,016,Aquixtla,0001,Aquixtla,9021,4508,4513,2491
21,21,Puebla,Pue.,017,Atempan,0001,Atempan,29742,14279,15463,6921
21,21,Puebla,Pue.,018,Atexcal,0001,San Martín Atexcal,3859,1841,2018,1108
21,21,Puebla,Pue.,019,Atlixco,0001,Atlixco,141793,66862,74931,37594
21,21,Puebla,Pue.,020,Atoyatempan,0001,Atoyatempan,7704,3760,3944,1831
21,21,Puebla,Pue.,021,Atzala,0001,Atzala,1512,729,783,402
21,21,Puebla,Pue.,022,Atzitzihuacán,0001,Santiago Atzitzihuacán,12857,6025,6832,3237
21,21,Puebla,Pue.,023,Atzitzintla,0001,Atzitzintla,9051,4421,4630,2081
21,21,Puebla,Pue.,024,Axutla,0001,Axutla,976,466,510,300
21,21,Puebla,Pue.,025,Ayotoxco de Guerrero,0001,Ayotoxco de Guerrero,8208,3968,4240,2318
