Estado,Ciudad,Coordenadas
Puebla,Acajete,"19.10965,-97.95112"
Puebla,Acateno,"20.10000,-97.20000"
Puebla,Acatlán,"18.20861111, -98.0575"
Puebla,Acatzingo,"18.97968,-97.78347"
Puebla,Acteopan,"18.90000,-97.31667"
Puebla,Ahuacatlán,"19.882222, -97.543333"
Puebla,Ahuatlán,"18.57188,-98.25683"
Puebla,Ahuazotepec,"20.04433,-98.16182"
Puebla,Ahuehuetitla,"18.21233,-98.21976"
Puebla,Ajalpan,"18.37816,-97.25913"
Puebla,Albino Zertuche,"18.01865,-98.53802"
Puebla,Aljojuca,"19.10111,-97.53139"
Puebla,Altepexi,"18.36971,-97.29964"
Puebla,Amixtlán,"20.02783,-97.75342"
Puebla,Amozoc,"19.04765,-98.05743"
Puebla,Aquixtla,"19.79661,-97.93563"
Puebla,Atempan,"19.83796,-97.45649"
Puebla,Atexcal,"18.44840,-97.63606"
Puebla,Atlequizayan,"20.01288,-97.62458"
Puebla,Atlixco,"18.88898,-98.45132"
Puebla,Atoyatempan,"18.82346,-97.91601"
Puebla,Atzala,"18.54468,-98.55521"
Puebla,Atzitzihuacán,"18.82375,-98.58795"
Puebla,Atzitzintla,"18.89786,-97.32430"
Puebla,Axutla,"18.19190,-98.38805"
Puebla,Ayotoxco de Guerrero,"20.09801,-97.41117"
Puebla,Calpan,"19.10350,-98.47573"
Puebla,Caltepec,"18.22821,-97.58039"
Puebla,Camocuautla,"20.03962,-97.75821"
Puebla,Cañada Morelos,"18.77064,-97.35368"
Puebla,Caxhuacan,"20.06397,-97.60761"
Puebla,Chalchicomula de Sesma,"19.04182,-97.43747"
Puebla,Chapulco,"18.62000,-97.41056"
Puebla,Chiautla,"18.3,-98.603889 "
Puebla,Chiautzingo,"19.22891,-98.48463"
Puebla,Chichiquila,"19.19934,-97.06847"
Puebla,Chiconcuautla,"20.09447,-97.93896"
Puebla,Chietla,"18.48622,-98.63595"
Puebla,Chigmecatitlán,"18.64783,-98.05272"
Puebla,Chignahuapan,"19.88242,-98.27315"
Puebla,Chignautla,"19.81205,-97.38786"
Puebla,Chila,"19.02831,-98.30748"
Puebla,Chila de la Sal,"18.10817,-98.48292"
Puebla,Chilchotla,"19.27909,-97.23444"
Puebla,Chinantla,"18.24895,-98.31475"
Puebla,Coatepec,"20.05960,-97.73258"
Puebla,Coatzingo,"18.61466,-98.17292"
Puebla,Cohetzala,"18.29518,-98.73120"
Puebla,Cohuecan,"18.80000,-98.71667"
Puebla,Coronango,"19.13136,-98.29790"
Puebla,Coxcatlán,"19.83333,-97.75000"
Puebla,Coyomeapan,"18.27833,-96.99200"
Puebla,Coyotepec,"18.39581975, -97.8331099037162"
Puebla,Cuapiaxtla de Madero,"18.91483,-97.82345"
Puebla,Cuautempan,"19.90974,-97.79601"
Puebla,Cuautinchán,"18.957500, -98.017500"
Puebla,Cuautlancingo,"19.09810,-98.25363"
Puebla,Cuayuca de Andrade,"18.46667,-98.18333"
Puebla,Cuetzalan del Progreso,"20.02966,-97.54134"
Puebla,Cuyoaco,"19.54126,-97.59568"
Puebla,Domingo Arenas,"19.13955,-98.45954"
Puebla,Eloxochitlán,"18.500000, -96.954167"
Puebla,Epatlán,"19.65833,-97.65694"
Puebla,Esperanza,"18.85412,-97.33329"
Puebla,Francisco Z. Mena,"20.75000,-97.75000"
Puebla,General Felipe Ángeles,"19.04367,-97.70102"
Puebla,Guadalupe,"18.955000, -98.255833"
Puebla,Guadalupe Victoria,"18.535833, -97.845833 "
Puebla,Hermenegildo Galeana,"20.12188,-97.74443"
Puebla,Honey,"20.52847,-97.85160"
Puebla,Huaquechula,"18.78619,-98.48941"
Puebla,Huatlatlauca,"18.71779,-98.01249"
Puebla,Huauchinango,"20.13801,-98.00635"
Puebla,Huehuetla,"20.107500, -97.623333"
Puebla,Huehuetlán el Chico,"18.27102,-98.76173"
Puebla,Huehuetlán el Grande,"18.79903,-98.16972"
Puebla,Huejotzingo,"19.15832,-98.41870"
Puebla,Hueyapan,"19.88396,-97.44555"
Puebla,Hueytamalco,"19.93951,-97.28788"
Puebla,Hueytlalpan,"20.02620,-97.69818"
Puebla,Huitzilán de Serdán,"19.96667,-97.68333"
Puebla,Huitziltepec,"18.75623,-97.86386"
Puebla,Ixcamilpa de Guerrero,"18.01946,-98.70427"
Puebla,Ixcaquixtla,"18.50747,-97.87381"
Puebla,Ixtacamaxtitlán,"19.46667,-97.70000"
Puebla,Ixtepec,"20.02436,-97.64559"
Puebla,Izúcar de Matamoros,"18.57437,-98.40362"
Puebla,Jalpan,"20.46667,-97.98333"
Puebla,Jolalpan,"18.33618,-98.95854"
Puebla,Jonotla,"20.05346,-97.55621"
Puebla,Jopala,"20.13377,-97.72671"
Puebla,Juan C. Bonilla,"19.04528,-98.19750"
Puebla,Juan Galindo,"20.18333,-97.95000"
