Region,Municipio,NumeroRegion,Población total 2020,Población femenina 2020,Proporción de mujeres/hombres
Atlixco,San Martín Totoltepec,3,692,334,0.48
Tepeaca,Tecali de Herrera,9,23625,12131,0.51
San Martín Texmelucan,Juan C. Bonilla,7,23783,12308,0.52
Teziutlán,Cuetzalan del Progreso,10,49864,25715,0.52
Huauchinango,Huauchinango,5,103946,55128,0.53
Puebla,Coronango,6,46836,23852,0.51
Puebla,San Pedro Cholula,6,138433,71979,0.52
San Martín Texmelucan,Huejotzingo,7,90794,46719,0.51
Puebla,San Andrés Cholula,6,154448,80176,0.52
Zacatlán,Zacatlán,11,87361,45856,0.52
Puebla,Puebla,6,1692181,882696,0.52
Puebla,Amozoc,6,125876,64397,0.51
Puebla,Cuautlancingo,6,137435,70485,0.51
Atlixco,Atlixco,3,141793,74931,0.53
Ajalpan,Chapulco,2,8193,4256,0.52
Teziutlán,Zaragoza,10,16752,8998,0.54
Chalchicomula de Sesma,Libres,4,37257,19160,0.51
Tehuacán,Tehuacán,8,327312,172905,0.53
Atlixco,Izúcar de Matamoros,3,82809,43258,0.52
Huauchinango,Tlaola,5,20433,10583,0.52
Acatlán,Tepeyahualco de Cuauhtémoc,1,3851,2035,0.53
Chalchicomula de Sesma,Ocotepec,4,5077,2644,0.52
Zacatlán,Huehuetla,11,17082,8709,0.51
Teziutlán,Tlatlauquitepec,10,55576,28959,0.52
Zacatlán,Ahuazotepec,11,11439,5890,0.51
San Martín Texmelucan,Tlaltenango,7,7425,3791,0.51
Atlixco,Santa Isabel Cholula,3,11498,5885,0.51
Tepeaca,Cuautinchán,9,12340,6236,0.51
Chalchicomula de Sesma,Chalchicomula de Sesma,4,47410,24622,0.52
Tehuacán,Ixcaquixtla,8,8804,4611,0.52
Chalchicomula de Sesma,San Salvador el Seco,4,30639,15649,0.51
Atlixco,Xicotlán,3,1312,684,0.52
Huauchinango,Xicotepec,5,80591,42143,0.52
San Martín Texmelucan,San Martín Texmelucan,7,155738,80816,0.52
San Martín Texmelucan,San Gregorio Atzompa,7,9671,4989,0.52
Acatlán,San Pedro Yeloixtlahuaca,1,3488,1803,0.52
Teziutlán,Teziutlán,10,103583,54934,0.53
Acatlán,San Jerónimo Xayacatlán,1,3606,1872,0.52
San Martín Texmelucan,San Miguel Xoxtla,7,12461,6372,0.51
San Martín Texmelucan,San Nicolás de los Ranchos,7,11780,6043,0.51
Chalchicomula de Sesma,Rafael Lara Grajales,4,15952,8327,0.52
Teziutlán,Hueyapan,10,13080,6821,0.52
Teziutlán,Tenampulco,10,6743,3439,0.51
Ajalpan,Zinacatepec,2,18359,9578,0.52
Huauchinango,Zihuateutla,5,11967,6193,0.52
Chalchicomula de Sesma,Aljojuca,4,6591,3491,0.53
Chalchicomula de Sesma,Oriental,4,19903,10225,0.51
Acatlán,San Pablo Anicano,1,3759,1968,0.52
Acatlán,Petlalcingo,1,4627,2365,0.51
Atlixco,Chietla,3,37030,19041,0.51
Tehuacán,Tlacotepec de Benito Juárez,8,54757,29003,0.53
Zacatlán,Coatepec,11,772,400,0.52
Tepeaca,Tlanepantla,9,5390,2808,0.52
Atlixco,Ocoyucan,3,42669,22249,0.52
Chalchicomula de Sesma,Mazapiltepec de Juárez,4,3176,1619,0.51
Acatlán,Tehuitzingo,1,12672,6579,0.52
Ajalpan,Coxcatlán,2,20653,10878,0.53
Ajalpan,San Gabriel Chilac,2,15954,8385,0.53
Teziutlán,Atempan,10,29742,15463,0.52
Huauchinango,Francisco Z. Mena,5,17824,8957,0.5
